,maize_yield_tha,bean_yield_tha,chirps_rain_mm,tmax_c_mean,tmin_c_mean,ndvi_mean,fert_rate_kgha,farm_size_ha,soil_ph,soil_soc_gkg,soil_clay_pct,seed_type,irrigation,extension_access,planting_week,management_index,climate_stress,soil_fertility_score
maize_yield_tha,1.0,0.6400728779452957,,-0.19702257180235086,-0.1970225718023481,0.5057970172541699,0.27748555586570434,-0.09621341269574728,0.1746754725601009,0.20149911691630787,0.10264428449090549,0.491757216676802,0.22951655497967302,0.2515211291302897,-0.11918306264104517,0.5993276096315266,-0.19702257180234914,0.18926215553782208
bean_yield_tha,0.6400728779452957,1.0,,-0.1638519941783129,-0.1638519941783106,0.5717558478708669,0.25553397385292215,-0.1022356221098282,0.18851631726220253,0.19381308739776362,0.04979708529619886,0.4589665992345374,0.23474459378812237,-0.047173478926090515,-0.20030652602877555,0.4323782893064858,-0.16385199417831217,0.19205546161853443
chirps_rain_mm,,,,,,,,,,,,,,,,,,
tmax_c_mean,-0.19702257180235086,-0.1638519941783129,,1.0,1.0000000000000002,-0.21629914023053662,-0.1295218012618879,0.01898878767623311,-0.47638276252784845,-0.681943083477255,-0.7287211324809931,-0.09295699748325745,0.10677923685762632,-0.02303226518284347,0.01925611447201843,-0.1023325505913325,1.0000000000000009,-0.5662947622093318
tmin_c_mean,-0.1970225718023481,-0.1638519941783106,,1.0000000000000002,1.0,-0.21629914023053476,-0.12952180126189056,0.018988787676231102,-0.47638276252784395,-0.6819430834772496,-0.728721132480992,-0.09295699748325574,0.10677923685762977,-0.023032265182851633,0.0192561144720236,-0.10233255059133355,1.0000000000000002,-0.5662947622093262
ndvi_mean,0.5057970172541699,0.5717558478708669,,-0.21629914023053662,-0.21629914023053476,1.0,0.1570497838784032,-0.08735337460829545,0.31989799277341896,0.310947613193191,-0.019174965008008315,0.09068285753763342,0.02214285950530364,0.04311213822039733,0.05051386115853661,0.1406742529721777,-0.2162991402305339,0.3169083454165022
fert_rate_kgha,0.27748555586570434,0.25553397385292215,,-0.1295218012618879,-0.12952180126189056,0.1570497838784032,1.0,-0.14015609335084214,0.1498296877679511,0.159650734889559,0.04760310899554669,0.07594440859308045,-0.015027924295230881,0.021501561318497547,-0.08960250267678271,0.4958557681851661,-0.12952180126189355,0.1545111836069645
farm_size_ha,-0.09621341269574728,-0.1022356221098282,,0.01898878767623311,0.018988787676231102,-0.08735337460829545,-0.14015609335084214,1.0,-0.0127705557736569,-0.02967051320936137,0.011793354210235247,-0.002327933556672867,0.019558904318322294,0.12875087543394484,0.045105933940636486,-0.01950423802646054,0.01898878767623233,-0.02509123102935703
soil_ph,0.1746754725601009,0.18851631726220253,,-0.47638276252784845,-0.47638276252784395,0.31989799277341896,0.1498296877679511,-0.0127705557736569,1.0,0.9234444060627911,-0.19750674728210688,-0.00042660207740431553,-0.10386703635674524,0.026289080389783438,0.009386532072883072,0.001959428539000683,-0.47638276252784856,0.9823361890367994
soil_soc_gkg,0.20149911691630787,0.19381308739776362,,-0.681943083477255,-0.6819430834772496,0.310947613193191,0.159650734889559,-0.02967051320936137,0.9234444060627911,1.0,0.0734633316711338,0.038082475253944315,-0.14663359517297547,0.019629750614836978,0.0017689103874188668,0.045465256309742845,-0.6819430834772527,0.9774368689246481
soil_clay_pct,0.10264428449090549,0.04979708529619886,,-0.7287211324809931,-0.728721132480992,-0.019174965008008315,0.04760310899554669,0.011793354210235247,-0.19750674728210688,0.0734633316711338,1.0,0.1349112188734705,-0.018844694825539177,0.007087714610340001,-0.003422777378370187,0.14217836360816963,-0.7287211324809867,-0.0907026988684875
seed_type,0.491757216676802,0.4589665992345374,,-0.09295699748325745,-0.09295699748325574,0.09068285753763342,0.07594440859308045,-0.002327933556672867,-0.00042660207740431553,0.038082475253944315,0.1349112188734705,1.0,-0.04147890669519314,0.0018448522971329408,-0.007893396875546969,0.7080385667291069,-0.09295699748325413,0.017129729179882522
irrigation,0.22951655497967302,0.23474459378812237,,0.10677923685762632,0.10677923685762977,0.02214285950530364,-0.015027924295230881,0.019558904318322294,-0.10386703635674524,-0.14663359517297547,-0.018844694825539177,-0.04147890669519314,1.0,0.044872027272383846,-0.04538093480631724,0.171013321425538,0.10677923685762956,-0.12532639211592744
extension_access,0.2515211291302897,-0.047173478926090515,,-0.02303226518284347,-0.023032265182851633,0.04311213822039733,0.021501561318497547,0.12875087543394484,0.026289080389783438,0.019629750614836978,0.007087714610340001,0.0018448522971329408,0.044872027272383846,1.0,-0.003070006901776597,0.3531938076006557,-0.023032265182853028,0.021224946342759878
planting_week,-0.11918306264104517,-0.20030652602877555,,0.01925611447201843,0.0192561144720236,0.05051386115853661,-0.08960250267678271,0.045105933940636486,0.009386532072883072,0.0017689103874188668,-0.003422777378370187,-0.007893396875546969,-0.04538093480631724,-0.003070006901776597,1.0,-0.05211106642596564,0.019256114472027065,0.0029312027520570034
management_index,0.5993276096315266,0.4323782893064858,,-0.1023325505913325,-0.10233255059133355,0.1406742529721777,0.4958557681851661,-0.01950423802646054,0.001959428539000683,0.045465256309742845,0.14217836360816963,0.7080385667291069,0.171013321425538,0.3531938076006557,-0.05211106642596564,1.0,-0.10233255059133375,0.021727471794921623
climate_stress,-0.19702257180234914,-0.16385199417831217,,1.0000000000000009,1.0000000000000002,-0.2162991402305339,-0.12952180126189355,0.01898878767623233,-0.47638276252784856,-0.6819430834772527,-0.7287211324809867,-0.09295699748325413,0.10677923685762956,-0.023032265182853028,0.019256114472027065,-0.10233255059133375,1.0,-0.5662947622093305
soil_fertility_score,0.18926215553782208,0.19205546161853443,,-0.5662947622093318,-0.5662947622093262,0.3169083454165022,0.1545111836069645,-0.02509123102935703,0.9823361890367994,0.9774368689246481,-0.0907026988684875,0.017129729179882522,-0.12532639211592744,0.021224946342759878,0.0029312027520570034,0.021727471794921623,-0.5662947622093305,1.0
