ward,lat,lon,pred_maize,pred_bean,n_farmers,avg_fert
Central,-1.176,38.09,1.963,1.303,7,44.3
Ikutha,-0.89,38.002,1.67,1.083,8,20.938
Kauwi,-0.971,37.912,1.642,1.086,15,23.44
Kisasi,-1.06,37.896,1.501,1.0,8,10.125
Kivou,-0.912,38.037,2.065,1.345,8,31.062
Kyangwithya East,-1.191,38.042,1.733,1.278,7,25.843
Kyangwithya West,-1.134,37.96,1.747,1.047,9,11.322
Kyuso,-0.898,38.074,1.936,1.198,10,8.21
Mbitini,-1.085,37.954,1.884,1.129,8,19.788
Mui,-0.897,37.938,1.557,0.94,8,18.062
Mulango,-1.175,38.017,1.887,1.192,17,30.006
Mutonguni,-1.09,37.923,1.986,1.309,11,46.327
Ngomeni,-0.92,38.09,1.909,1.168,13,24.938
Nguni,-0.621,38.17,1.521,1.064,12,10.8
Nguutani,-0.913,38.12,1.796,1.239,9,31.589
Nuu,-0.886,37.959,1.547,1.016,17,17.388
Tharaka,-0.634,38.114,1.662,1.012,7,8.743
Township,-1.157,38.025,1.865,1.223,5,24.9
Tseikuru,-0.67,38.054,1.852,1.112,5,20.44
Waita,-0.675,38.085,1.585,0.959,16,22.738
