,0
seed_type,0.17286532
management_index,0.14972396
subcounty_Mwingi North,0.09874223
irrigation,0.075413235
extension_access,0.06285481
subcounty_Mwingi Central,0.06247543
ndvi_mean,0.060568463
subcounty_Mwingi West,0.040142305
soil_fertility_score,0.036722396
planting_week,0.027553655
gender,0.025913807
soil_soc_gkg,0.025888847
soil_clay_pct,0.025697455
education_yrs,0.024756681
soil_ph,0.02286404
planting_optimal,0.020844346
tmax_c_mean,0.0194356
farm_size_ha,0.01862481
farmer_group,0.014069953
fert_rate_kgha,0.012296338
tmin_c_mean,0.0025462508
chirps_rain_mm,0.0
climate_stress,0.0
rain_adequacy,0.0
subcounty_Kitui West,0.0
